"term","estimate","cluster_standard_error","t_value","p_value"
"(Intercept)",3.33275025397671,0.203803990658945,16.3527232376617,7.807966106067e-12
"Brand1",0.233180221170487,0.393770581095548,0.592172783760872,0.561529021924223
"Brand2",-1.16647688738368,0.822800798939772,-1.41769051377534,0.17435021689952
"MPG1",-0.740375652957822,0.396397623290928,-1.86776007083786,0.0791332918287177
"MPG2",-0.12592874051883,0.480787226223033,-0.261921976397129,0.796528823683747
"Price1",0.565420860443593,0.214795628697098,2.63236670072529,0.0174686707281347
"Price2",0.168602430738377,0.174356387622128,0.966998875336754,0.347101193567946
"SurveyID_factor2",-1.05751377319277,0.21548328702136,-4.90763709710787,0.000132998405058259
"SurveyID_factor3",-0.670110745975822,0.197048357109558,-3.40074261874329,0.00340230631594641
"SurveyID_factor4",-0.61357942753543,0.211632717259727,-2.89926546084277,0.0099780927420386
"SurveyID_factor5",-1.19821102949904,0.210043033763919,-5.70459780563722,2.58119648743255e-05
"SurveyID_factor6",-0.900746019181393,0.204150182228423,-4.41217347615958,0.000381099986874006
"SurveyID_factor8",-0.441147579266814,0.232572972019548,-1.89681361267437,0.0749755866336922
"SurveyID_factor9",-0.957434366282137,0.197459156903724,-4.84877167154603,0.000150541665076841
"SurveyID_factor10",-0.370642877767653,0.194155964888422,-1.90899557466934,0.0732908800700982
"SurveyID_factor11",0.064696885738675,0.257485819452353,0.251263878827497,0.80462213076048
"SurveyID_factor12",-0.515015098461006,0.226610121796053,-2.272692386285,0.0363098030639636
"SurveyID_factor13",-0.656357163481938,0.194155964888422,-3.38056656595194,0.0035541292719957
"SurveyID_factor14",-0.628942344621343,0.215483287021361,-2.91875232327877,0.00957418424760233
"SurveyID_factor15",-0.812967888832966,0.197048357109558,-4.12572782010539,0.000706311823202782
"SurveyID_factor16",0.0579285508037756,0.194155964888422,0.298360912254569,0.769043727228208
"SurveyID_factor18",-0.0575137731927719,0.21548328702136,-0.266905958173316,0.79275230897804
"SurveyID_factor19",-0.99916532184682,0.0650602346690239,-15.3575425439179,2.12927916483395e-11
"SurveyID_factor20",-0.456811673524051,0.201110537676196,-2.2714457372669,0.0363999204406238
