"term","estimate","standard_error","t_value","p_value","confidence_low","confidence_high","hc1_standard_error","hc1_t_value","hc1_p_value","hc1_confidence_low","hc1_confidence_high"
"(Intercept)",0.243859342319752,0.0102968599976264,23.6828841390449,2.49959888596285e-06,0.217390421045763,0.270328263593741,0.0107224454828002,22.7428847934853,3.05577796880528e-06,0.216296418728065,0.271422265911439
"time_index",-0.00213581641085156,0.0014325163455289,-1.49095430395455,0.196169057951375,-0.00581821690792025,0.00154658408621714,0.00150187315394793,-1.42210173025411,0.214265130549547,-0.00599650425981994,0.00172487143811682
"calendar_quarter2",0.0107123081118985,0.0105592424297992,1.01449589618923,0.356894642335572,-0.0164310886762236,0.0378557049000206,0.0119498460491799,0.896439005809088,0.411097177090715,-0.0200057490807737,0.0414303653045707
"calendar_quarter3",0.0324923689943273,0.0116964469824742,2.77796915961003,0.0389956699782592,0.0024256948396958,0.0625590431489587,0.00576689222902066,5.63429446987345,0.00244156207131426,0.0176681005823345,0.04731663740632
"calendar_quarter4",0.0187139061201102,0.0117838438166007,1.58809862141474,0.173129069139395,-0.0115774287488189,0.0490052409890392,0.00770768807272432,2.42795322586214,0.0595306615515446,-0.00109933683438565,0.038527149074606
