model,training_months,parameters,adjusted_r_squared,aic,rolling_months,rolling_rmse,rolling_mae,selected
seasonal_only,102,13,-0.019168539199544643,-230.52260685896147,42,0.11068935194953389,0.10576695310058125,FALSE
linear_time_season,102,14,0.8689527133679282,-438.89594902620576,42,0.037789961388130455,0.031134359356861548,FALSE
quadratic_time_season,102,15,0.8820551637923142,-448.806478332132,42,0.036587491131280035,0.026944848586749018,TRUE
