model,rolling_months,rolling_rmse,rolling_mae,rmse_change_vs_no_gas,selected_gas_candidate
no_gas,42,0.036587491131280035,0.026944848586749018,0,FALSE
current_month_gas,42,0.03525388188957186,0.026635494390319977,-0.03644986853356613,FALSE
one_month_lag_gas,42,0.03468033150503032,0.026621804606474248,-0.05212600173667592,FALSE
two_month_lag_gas,42,0.03442264198435833,0.026249985277357585,-0.059169106161283014,FALSE
prior_three_month_average_gas,42,0.033683398882108695,0.02626106957193287,-0.07937391057372944,TRUE
