"definition","share_2025_q4","share_2026_q2","change_percentage_points","relative_change"
"Official CEC statewide total",0.189005251872339,0.190878563988063,0.187331211572342,0.00991142890033925
"California county mailing addresses only",0.19755019643458,0.210287059764103,1.2736863329523,0.0644740605648595
"Out-of-state mailing-address category",0.042336083369518,0.0130429927414852,-2.92930906280328,-0.691917822731893
