term,estimate,newey_west_standard_error,t_value,p_value,confidence_low,confidence_high
(Intercept),0.026019208430057953,0.009056568157534374,2.872965562392633,0.0049955715254144184,0.00804442762208353,0.043993989238032376
time_index,0.0011550584030606379,5.717559014849224e-4,2.020194981915893,0.04612060912597636,2.028120864318501e-5,0.002289835597478091
I(time_index^2),9.634977442651624e-6,5.847231531680677e-6,1.6477844926182068,0.10263258539748969,-1.9701585522670794e-6,2.1240113437570328e-5
calendar_month02,-0.022172712989585956,0.006253507050538953,-3.545644517611125,6.048600086576918e-4,-0.03458419342669254,-0.00976123255247937
calendar_month03,-0.03447364240530546,0.00882546754902235,-3.906154797331311,1.734647526099459e-4,-0.05198975247726413,-0.016957532333346792
calendar_month04,-0.013960562993858365,0.009421685119885075,-1.4817479905366073,0.14164872701850678,-0.03265999990261722,0.0047388739149004915
calendar_month05,-0.03569543098243378,0.010981470071314272,-3.250514799077508,0.0015842793097447139,-0.05749060924948986,-0.0139002527153777
calendar_month06,-0.033375915001795375,0.009786917164051022,-3.4102582501046066,9.472717587676652e-4,-0.052800236416885665,-0.013951593586705082
calendar_month07,-0.009454622503682987,0.008661950397634774,-1.0915119655112155,0.27775144063378343,-0.026646196293971774,0.0077369512866058004
calendar_month08,-0.008960939313072073,0.012605254131413359,-0.7108892228313474,0.47885876937614513,-0.03397887945328673,0.01605700082714259
calendar_month09,-0.0130362923695251,0.011655841959382863,-1.1184342079236056,0.2661437879257603,-0.036169912158826936,0.01009732741977674
calendar_month10,0.008196838897431995,0.007220144879634918,1.1352734652945722,0.25905818630038124,-0.0061331500515595765,0.022526827846423566
calendar_month11,0.00116629119400725,0.009130599371490482,0.12773435199105274,0.8986236445552231,-0.016955421080794623,0.019288003468809125
calendar_month12,-0.013956168400852943,0.007291985416686954,-1.913905144258201,0.05858014560171578,-0.028428740929427387,5.164041277215016e-4
covid_disruption,-0.027698900034890613,0.0090104040101461,-3.07410189417705,0.0027420248614500567,-0.045582057789180966,-0.009815742280600264
post_combined_incentive_rolloff,-0.11591713951393819,0.018701192120253333,-6.19838236881168,1.387912196201381e-8,-0.153033829121107,-0.07880044990676938
post_war,0.011523102611188385,0.01071002135524698,1.075917799691694,0.28463282788747973,-0.009733325095275212,0.03277953031765198
