"model","observations","parameters_including_variance","r_squared","adjusted_r_squared","aic","aicc","leave_one_out_rmse"
"mean_only",10,2,0,0,-50.429667202741,-48.7153814884553,0.0176845946404082
"time_only",10,3,0.144725203708906,0.0378158541725198,-49.9929918278626,-45.9929918278626,0.0198336824241416
"seasonal_only",10,5,0.531911239352063,0.297866859028095,-52.0206406181754,-37.0206406181754,0.0164459571396459
"time_plus_season",10,6,0.675970966326392,0.416747739387506,-53.6988887737492,-25.6988887737492,0.0174381657996342
