model,observations,gas_estimate,gas_newey_west_standard_error,gas_p_value,gas_confidence_low,gas_confidence_high,adjusted_r_squared
policy_adjusted,111,0.027701403607037847,0.012604360860978547,0.03050400141522044,0.002664389146741882,0.052738418067333814,0.9102715349416378
plus_unemployment,111,0.027802382540831835,0.012576733546942975,0.029597206818280333,0.0028165061979052337,0.05278825888375843,0.9105086408092348
plus_electricity,111,0.01999294804740344,0.012681180992227594,0.11839996220062086,-0.005200431375911665,0.045186327470718546,0.9131355227592348
plus_postwar_indicator,111,0.027376459827997378,0.012801869539425071,0.03518720494050076,0.0019433115406105213,0.05280960811538424,0.9093662521793978
