metric,value
first_month,2017-01-01
last_month,2026-06-01
consecutive_months,114
total_new_ldv_titles,2541732
total_zev_titles,270363
counties_excluding_unknown,39
unknown_or_out_of_state_title_share,0.0396623247454885
benchmark_training_months,102
rolling_validation_months,42
selected_benchmark_model,quadratic_time_season
selected_rolling_rmse,0.03658749113128
